Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,15582.0615234375,15778.6806640625,15434.59765625,15680.37109375,15680.37109375,630678
2015-01-06,15680.37109375,16712.62109375,15680.37109375,16712.62109375,16712.62109375,3427132
2015-01-07,16761.775390625,17007.55078125,16270.228515625,16516.001953125,16516.001953125,3182476
2015-01-08,16565.15625,17204.169921875,16516.001953125,17007.55078125,17007.55078125,2043014
2015-01-09,17155.013671875,18187.263671875,17155.013671875,18138.109375,18138.109375,5155103
2015-01-12,18187.263671875,18580.501953125,18039.80078125,18285.57421875,18285.57421875,7547036
2015-01-13,18187.263671875,18334.728515625,17941.490234375,18187.263671875,18187.263671875,4915655
2015-01-14,18088.955078125,18727.966796875,18088.955078125,18383.8828125,18383.8828125,7199340
2015-01-15,18285.57421875,18580.501953125,18088.955078125,18088.955078125,18088.955078125,3506840
2015-01-16,18088.955078125,18088.955078125,17744.87109375,17843.181640625,17843.181640625,1379376
2015-01-19,17892.3359375,18285.57421875,17400.7890625,17400.7890625,17400.7890625,1876926
2015-01-20,17400.7890625,17744.87109375,17351.6328125,17695.716796875,17695.716796875,2649568
2015-01-21,17695.716796875,17695.716796875,17400.7890625,17400.7890625,17400.7890625,1091651
2015-01-22,17400.7890625,18138.109375,17155.013671875,17794.02734375,17794.02734375,3874108
2015-01-23,17941.490234375,18678.8125,17843.181640625,18236.419921875,18236.419921875,2785751
2015-01-26,18236.419921875,18433.0390625,17990.64453125,17990.64453125,17990.64453125,1014285
2015-01-27,17941.490234375,18088.955078125,17449.943359375,17843.181640625,17843.181640625,2114970
2015-01-28,17843.181640625,18482.193359375,17695.716796875,18383.8828125,18383.8828125,2729804
2015-01-29,18383.8828125,18383.8828125,18088.955078125,18138.109375,18138.109375,1204113
2015-01-30,18088.955078125,18088.955078125,17499.09765625,17548.251953125,17548.251953125,2362250
2015-02-02,17449.943359375,17744.87109375,17400.7890625,17548.251953125,17548.251953125,1237254
2015-02-03,17499.09765625,17597.408203125,16368.5380859375,16368.5380859375,16368.5380859375,3036732
2015-02-04,15975.2998046875,16368.5380859375,15680.37109375,16270.228515625,16270.228515625,2778712
2015-02-05,16466.84765625,17204.169921875,16466.84765625,17155.013671875,17155.013671875,1657313
2015-02-06,17204.169921875,17695.716796875,17204.169921875,17695.716796875,17695.716796875,1401123
2015-02-09,17597.408203125,18039.80078125,17449.943359375,17794.02734375,17794.02734375,2057254
2015-02-10,17892.3359375,18138.109375,17843.181640625,17892.3359375,17892.3359375,1368105
2015-02-11,17892.3359375,18334.728515625,17843.181640625,18236.419921875,18236.419921875,1081845
2015-02-12,18383.8828125,18383.8828125,17843.181640625,17843.181640625,17843.181640625,1177096
2015-02-13,17843.181640625,18088.955078125,17843.181640625,17941.490234375,17941.490234375,789952
2015-02-24,18187.263671875,19170.359375,18039.80078125,19170.359375,19170.359375,2059858
2015-02-25,19121.205078125,19612.751953125,18727.966796875,18727.966796875,18727.966796875,1812437
2015-02-26,18924.5859375,19612.751953125,18875.431640625,19366.978515625,19366.978515625,1506972
